% Model:              HMD_med2_10MHz_100_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jul 23 2014, 09:17
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e7
37.4766594029             37.4766594029            1                        3.944017237055563E-6
38.1837661841             38.1837661841            1                        3.824526868163303E-6
38.8908729653             38.8908729653            1                        3.748145576673852E-6
39.5979797464             39.5979797464            1                        3.6489060359658436E-6
40.3050865276             40.3050865276            1                        3.5740340430680857E-6
41.0121933088             41.0121933088            1                        3.486829892744905E-6
41.71930009               41.71930009              1                        3.424156173787594E-6
42.4264068712             42.4264068712            1                        3.3397707330416272E-6
43.1335136524             43.1335136524            1                        3.2416264596488793E-6
43.8406204336             43.8406204336            1                        3.187695958585448E-6
44.5477272148             44.5477272148            1                        3.113972621037689E-6
45.2548339959             45.2548339959            1                        3.0553961432678167E-6
45.9619407771             45.9619407771            1                        3.0207343844618607E-6
46.6690475583             46.6690475583            1                        2.9425310859013788E-6
47.3761543395             47.3761543395            1                        2.9075181711523135E-6
48.0832611207             48.0832611207            1                        2.8564196521601977E-6
48.7903679019             48.7903679019            1                        2.797190412806532E-6
49.4974746831             49.4974746831            1                        2.7432033232700046E-6
50.2045814642             50.2045814642            1                        2.7018363125361893E-6
50.9116882454             50.9116882454            1                        2.643331253159254E-6
51.6187950266             51.6187950266            1                        2.600019059715347E-6
52.3259018078             52.3259018078            1                        2.550031109126465E-6
53.033008589              53.033008589             1                        2.512446118148694E-6
53.7401153702             53.7401153702            1                        2.468182583721208E-6
54.4472221514             54.4472221514            1                        2.417956216965927E-6
55.1543289326             55.1543289326            1                        2.3693908876270617E-6
55.8614357137             55.8614357137            1                        2.3395855622487947E-6
56.5685424949             56.5685424949            1                        2.293385939476035E-6
57.2756492761             57.2756492761            1                        2.258480417207928E-6
57.9827560573             57.9827560573            1                        2.2344115637948823E-6
58.6898628385             58.6898628385            1                        2.1944564338316027E-6
59.3969696197             59.3969696197            1                        2.159397311067845E-6
60.1040764009             60.1040764009            1                        2.132201222978726E-6
60.811183182              60.811183182             1                        2.100013887784853E-6
61.5182899632             61.5182899632            1                        2.066866801058151E-6
62.2253967444             62.2253967444            1                        2.0362022032867924E-6
62.9325035256             62.9325035256            1                        2.0071344361361968E-6
63.6396103068             63.6396103068            1                        1.9695698940441093E-6
64.346717088              64.346717088             1                        1.9627338695539017E-6
65.0538238692             65.0538238692            1                        1.8931583983800313E-6
65.7609306503             65.7609306503            1                        1.8763391300063043E-6
66.4680374315             66.4680374315            1                        1.8350960190930992E-6
67.1751442127             67.1751442127            1                        1.8098136727252737E-6
67.8822509939             67.8822509939            1                        1.79448838466323E-6
68.5893577751             68.5893577751            1                        1.756184159911085E-6
69.2964645563             69.2964645563            1                        1.751501437021517E-6
70.0035713375             70.0035713375            1                        1.7349223954163833E-6
70.7106781187             70.7106781187            1                        1.7180350156079051E-6
0                         0                        -2                       1.6023737320013457E-5
0.7071067812              0.7071067812             -2                       6.68070459053459E-5
1.4142135624              1.4142135624             -2                       2.0303556554637293E-4
2.1213203436              2.1213203436             -2                       3.4091056119933303E-4
2.8284271247              2.8284271247             -2                       3.8480017162829787E-4
3.5355339059              3.5355339059             -2                       3.812121882417462E-4
4.2426406871              4.2426406871             -2                       3.53072433837262E-4
4.9497474683              4.9497474683             -2                       2.9505644271943764E-4
5.6568542495              5.6568542495             -2                       2.51624698490926E-4
6.3639610307              6.3639610307             -2                       2.0423201302460474E-4
7.0710678119              7.0710678119             -2                       1.6746811413124356E-4
7.7781745931              7.7781745931             -2                       1.3979672000395227E-4
8.4852813742              8.4852813742             -2                       1.1485536516558359E-4
9.1923881554              9.1923881554             -2                       9.639299906356433E-5
9.8994949366              9.8994949366             -2                       7.930767094081936E-5
10.6066017178             10.6066017178            -2                       6.638341516828745E-5
11.313708499              11.313708499             -2                       5.538105233699465E-5
12.0208152802             12.0208152802            -2                       4.643570202880557E-5
12.7279220614             12.7279220614            -2                       3.8701104370152746E-5
13.4350288425             13.4350288425            -2                       3.172950336082454E-5
14.1421356237             14.1421356237            -2                       2.5930350032895963E-5
14.8492424049             14.8492424049            -2                       2.1063968714335386E-5
15.5563491861             15.5563491861            -2                       1.708063597160014E-5
16.2634559673             16.2634559673            -2                       1.3634855937373084E-5
16.9705627485             16.9705627485            -2                       1.0974329930257841E-5
17.6776695297             17.6776695297            -2                       8.308391539186256E-6
18.3847763109             18.3847763109            -2                       6.31718238967306E-6
19.091883092              19.091883092             -2                       4.78486828418383E-6
19.7989898732             19.7989898732            -2                       3.659736071571416E-6
20.5060966544             20.5060966544            -2                       2.8953072512642753E-6
21.2132034356             21.2132034356            -2                       2.5767957658675064E-6
21.9203102168             21.9203102168            -2                       2.532427689258032E-6
22.627416998              22.627416998             -2                       2.6663110449607654E-6
