% Model:              HMD_point_source_med2_100k_final_ref_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 16 2016, 13:14
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e5
53.033008589              53.033008589             1                        4.5615995293646826E-7
53.7401153702             53.7401153702            1                        4.3580649673861567E-7
54.4472221514             54.4472221514            1                        4.1832864658643693E-7
55.1543289326             55.1543289326            1                        4.02192678449397E-7
55.8614357137             55.8614357137            1                        3.8531349037589486E-7
56.5685424949             56.5685424949            1                        3.694502502565739E-7
57.2756492761             57.2756492761            1                        3.5558977573984336E-7
57.9827560573             57.9827560573            1                        3.4172942991527566E-7
58.6898628385             58.6898628385            1                        3.278692291038731E-7
59.3969696197             59.3969696197            1                        3.1556469881082186E-7
60.1040764009             60.1040764009            1                        3.0423756385980163E-7
60.811183182              60.811183182             1                        2.936385447620795E-7
61.5182899632             61.5182899632            1                        2.8303960216486497E-7
62.2253967444             62.2253967444            1                        2.726120997363606E-7
62.9325035256             62.9325035256            1                        2.625047415277641E-7
63.6396103068             63.6396103068            1                        2.5238947729734187E-7
64.346717088              64.346717088             1                        2.437894486732057E-7
65.0538238692             65.0538238692            1                        2.3517668020865497E-7
65.7609306503             65.7609306503            1                        2.2748044050365426E-7
66.4680374315             66.4680374315            1                        2.19786973791245E-7
67.1751442127             67.1751442127            1                        2.122626666560284E-7
67.8822509939             67.8822509939            1                        2.0473860469091216E-7
68.5893577751             68.5893577751            1                        1.9880515578687494E-7
69.2964645563             69.2964645563            1                        1.9227576162246463E-7
70.0035713375             70.0035713375            1                        1.8634872962481718E-7
70.7106781187             70.7106781187            1                        1.8042220613646368E-7
0                         0                        -2                       6.781588335042147E-6
0.7071067812              0.7071067812             -2                       5.0530296135764984E-5
1.4142135624              1.4142135624             -2                       1.6110163445022085E-4
2.1213203436              2.1213203436             -2                       2.7094450912766463E-4
2.8284271247              2.8284271247             -2                       3.180003657776131E-4
3.5355339059              3.5355339059             -2                       3.149756730935855E-4
4.2426406871              4.2426406871             -2                       2.821171706018403E-4
4.9497474683              4.9497474683             -2                       2.410007259590299E-4
5.6568542495              5.6568542495             -2                       1.974177727397206E-4
6.3639610307              6.3639610307             -2                       1.641063414181743E-4
7.0710678119              7.0710678119             -2                       1.3514883894336687E-4
7.7781745931              7.7781745931             -2                       1.1040749043410505E-4
8.4852813742              8.4852813742             -2                       9.195163247020251E-5
9.1923881554              9.1923881554             -2                       7.721537765960111E-5
9.8994949366              9.8994949366             -2                       6.360338298296565E-5
10.6066017178             10.6066017178            -2                       5.3419582042659585E-5
11.313708499              11.313708499             -2                       4.5668302304512115E-5
12.0208152802             12.0208152802            -2                       3.950337552173562E-5
12.7279220614             12.7279220614            -2                       3.4226228785573556E-5
13.4350288425             13.4350288425            -2                       2.9404199866911993E-5
14.1421356237             14.1421356237            -2                       2.52113802002883E-5
14.8492424049             14.8492424049            -2                       2.27697999652641E-5
15.5563491861             15.5563491861            -2                       1.986556690609813E-5
16.2634559673             16.2634559673            -2                       1.737522732571845E-5
16.9705627485             16.9705627485            -2                       1.5419757891877982E-5
17.6776695297             17.6776695297            -2                       1.3671121229838686E-5
18.3847763109             18.3847763109            -2                       1.2468022209007758E-5
19.091883092              19.091883092             -2                       1.1075565078894784E-5
19.7989898732             19.7989898732            -2                       9.97061684259285E-6
20.5060966544             20.5060966544            -2                       9.022754504199098E-6
21.2132034356             21.2132034356            -2                       8.241932516696646E-6
21.9203102168             21.9203102168            -2                       7.37249916238087E-6
22.627416998              22.627416998             -2                       6.764838555847169E-6
23.3345237792             23.3345237792            -2                       6.157244821629286E-6
24.0416305603             24.0416305603            -2                       5.549739923696684E-6
24.7487373415             24.7487373415            -2                       5.0985250778046565E-6
25.4558441227             25.4558441227            -2                       4.7507571819670456E-6
26.1629509039             26.1629509039            -2                       4.403919312191748E-6
26.8700576851             26.8700576851            -2                       4.086402145084915E-6
27.5771644663             27.5771644663            -2                       3.751485022570573E-6
28.2842712475             28.2842712475            -2                       3.479769299859399E-6
28.9913780286             28.9913780286            -2                       3.208094261888992E-6
29.6984848098             29.6984848098            -2                       3.019259843823061E-6
30.405591591              30.405591591             -2                       2.803831261764103E-6
31.1126983722             31.1126983722            -2                       2.602191934083147E-6
31.8198051534             31.8198051534            -2                       2.448170446489884E-6
32.5269119346             32.5269119346            -2                       2.294279633917796E-6
33.2340187158             33.2340187158            -2                       2.1436390224277034E-6
33.941125497              33.941125497             -2                       2.0114057946398237E-6
34.6482322781             34.6482322781            -2                       1.890901020142134E-6
35.3553390593             35.3553390593            -2                       1.7713062579860404E-6
36.0624458405             36.0624458405            -2                       1.6687110160885575E-6
36.7695526217             36.7695526217            -2                       1.5661320696148946E-6
37.4766594029             37.4766594029            -2                       1.4916080220702306E-6
38.1837661841             38.1837661841            -2                       1.3991385181290375E-6
38.8908729653             38.8908729653            -2                       1.325125694561665E-6
39.5979797464             39.5979797464            -2                       1.2635809030785563E-6
40.3050865276             40.3050865276            -2                       1.1885477466547826E-6
41.0121933088             41.0121933088            -2                       1.1241888964577806E-6
41.71930009               41.71930009              -2                       1.0650017707389319E-6
42.4264068712             42.4264068712            -2                       1.0139461210535368E-6
43.1335136524             43.1335136524            -2                       9.579392728187168E-7
43.8406204336             43.8406204336            -2                       9.080381359595491E-7
44.5477272148             44.5477272148            -2                       8.639403765942481E-7
45.2548339959             45.2548339959            -2                       8.231873399776102E-7
45.9619407771             45.9619407771            -2                       7.824038275719448E-7
46.6690475583             46.6690475583            -2                       7.464881121510767E-7
47.3761543395             47.3761543395            -2                       7.121557377609859E-7
48.0832611207             48.0832611207            -2                       6.803099322123724E-7
48.7903679019             48.7903679019            -2                       6.484745609297391E-7
49.4974746831             49.4974746831            -2                       6.21647561505044E-7
50.2045814642             50.2045814642            -2                       5.927201174843763E-7
50.9116882454             50.9116882454            -2                       5.65494974125746E-7
51.6187950266             51.6187950266            -2                       5.402361892680366E-7
52.3259018078             52.3259018078            -2                       5.183848588989285E-7
53.033008589              53.033008589             -2                       4.965401769532496E-7
53.7401153702             53.7401153702            -2                       4.747030612647839E-7
54.4472221514             54.4472221514            -2                       4.5395082797009047E-7
55.1543289326             55.1543289326            -2                       4.322692269040238E-7
55.8614357137             55.8614357137            -2                       4.179047341556705E-7
56.5685424949             56.5685424949            -2                       4.013365705068412E-7
57.2756492761             57.2756492761            -2                       3.8637664317558913E-7
57.9827560573             57.9827560573            -2                       3.714209555580686E-7
58.6898628385             58.6898628385            -2                       3.567488498213048E-7
59.3969696197             59.3969696197            -2                       3.418049513597942E-7
60.1040764009             60.1040764009            -2                       3.2833405905740124E-7
60.811183182              60.811183182             -2                       3.168118534474154E-7
61.5182899632             61.5182899632            -2                       3.0505884201566904E-7
62.2253967444             62.2253967444            -2                       2.9431980366437345E-7
62.9325035256             62.9325035256            -2                       2.8351199818974816E-7
63.6396103068             63.6396103068            -2                       2.72728088586076E-7
64.346717088              64.346717088             -2                       2.6196048930825E-7
65.0538238692             65.0538238692            -2                       2.512112976797681E-7
65.7609306503             65.7609306503            -2                       2.43547460923734E-7
66.4680374315             66.4680374315            -2                       2.3544816627353433E-7
67.1751442127             67.1751442127            -2                       2.2718688001552476E-7
67.8822509939             67.8822509939            -2                       2.189857266131873E-7
68.5893577751             68.5893577751            -2                       2.123277313264069E-7
69.2964645563             69.2964645563            -2                       2.057212900029936E-7
70.0035713375             70.0035713375            -2                       1.983187002329244E-7
70.7106781187             70.7106781187            -2                       1.9069450964576063E-7
0                         0                        -7                       0.8069403864722112
0.7071067812              0.7071067812             -7                       0.11808796120016844
1.4142135624              1.4142135624             -7                       0.029565558112604744
2.1213203436              2.1213203436             -7                       0.009337114216895976
2.8284271247              2.8284271247             -7                       0.003815754341053459
3.5355339059              3.5355339059             -7                       0.0018938932443204684
4.2426406871              4.2426406871             -7                       0.0012197723659146456
4.9497474683              4.9497474683             -7                       6.865041542312652E-4
