% Model:              HMD_point_source_med1_1k_final_800_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 17 2016, 10:28
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1000
43.1335136524             43.1335136524            1                        1.060009433146391E-6
43.8406204336             43.8406204336            1                        1.0073408997464877E-6
44.5477272148             44.5477272148            1                        9.546729918312842E-7
45.2548339959             45.2548339959            1                        9.064225055580954E-7
45.9619407771             45.9619407771            1                        8.686579853475018E-7
46.6690475583             46.6690475583            1                        8.222324812683104E-7
47.3761543395             47.3761543395            1                        7.849911039825649E-7
48.0832611207             48.0832611207            1                        7.573235042421748E-7
48.7903679019             48.7903679019            1                        7.29656239824977E-7
49.4974746831             49.4974746831            1                        7.019893503789146E-7
50.2045814642             50.2045814642            1                        6.743228820621302E-7
50.9116882454             50.9116882454            1                        6.466568889188859E-7
51.6187950266             51.6187950266            1                        6.18991434667666E-7
52.3259018078             52.3259018078            1                        5.913265949453036E-7
53.033008589              53.033008589             1                        5.636624602359918E-7
53.7401153702             53.7401153702            1                        5.359991397017249E-7
54.4472221514             54.4472221514            1                        5.083367662629524E-7
55.1543289326             55.1543289326            1                        4.806755034327943E-7
55.8614357137             55.8614357137            1                        5.026249073371979E-7
56.5685424949             56.5685424949            1                        4.79934243684688E-7
57.2756492761             57.2756492761            1                        4.5135413992305887E-7
57.9827560573             57.9827560573            1                        4.308942269659717E-7
58.6898628385             58.6898628385            1                        4.18431531616835E-7
59.3969696197             59.3969696197            1                        4.059690754923805E-7
60.1040764009             60.1040764009            1                        3.935068813215119E-7
60.811183182              60.811183182             1                        3.8104497480781963E-7
61.5182899632             61.5182899632            1                        3.6858338512489594E-7
62.2253967444             62.2253967444            1                        3.561221455347705E-7
62.9325035256             62.9325035256            1                        3.436612941207749E-7
63.6396103068             63.6396103068            1                        3.318994544285198E-7
64.346717088              64.346717088             1                        3.204017441356152E-7
65.0538238692             65.0538238692            1                        3.0890449159688295E-7
65.7609306503             65.7609306503            1                        2.9740774990181263E-7
66.4680374315             66.4680374315            1                        2.85911580671327E-7
67.1751442127             67.1751442127            1                        2.79409581798524E-7
67.8822509939             67.8822509939            1                        2.7350403013991043E-7
68.5893577751             68.5893577751            1                        2.6641255491215947E-7
69.2964645563             69.2964645563            1                        2.593213361266769E-7
70.0035713375             70.0035713375            1                        2.4486008446309385E-7
70.7106781187             70.7106781187            1                        2.389011047344699E-7
0                         0                        -2                       1.0966301212265002
0.7071067812              0.7071067812             -2                       0.42488061341117617
1.4142135624              1.4142135624             -2                       0.0319388150658308
2.1213203436              2.1213203436             -2                       0.009231645710693952
2.8284271247              2.8284271247             -2                       0.0034797991719575433
3.5355339059              3.5355339059             -2                       0.0017534023241178895
4.2426406871              4.2426406871             -2                       0.001107837174030538
4.9497474683              4.9497474683             -2                       7.710707324254423E-4
5.6568542495              5.6568542495             -2                       4.374530915818381E-4
6.3639610307              6.3639610307             -2                       3.319724804386824E-4
7.0710678119              7.0710678119             -2                       2.4595740175661066E-4
7.7781745931              7.7781745931             -2                       1.8379575031179327E-4
8.4852813742              8.4852813742             -2                       1.4507530963123188E-4
9.1923881554              9.1923881554             -2                       1.1602859777500087E-4
9.8994949366              9.8994949366             -2                       8.618612287961495E-5
10.6066017178             10.6066017178            -2                       7.138758790528808E-5
11.313708499              11.313708499             -2                       5.853891207766182E-5
12.0208152802             12.0208152802            -2                       4.947242774705597E-5
12.7279220614             12.7279220614            -2                       4.272043774440409E-5
13.4350288425             13.4350288425            -2                       3.576266893516632E-5
14.1421356237             14.1421356237            -2                       3.1040804294768753E-5
14.8492424049             14.8492424049            -2                       2.597109080099582E-5
15.5563491861             15.5563491861            -2                       2.1410213017636608E-5
16.2634559673             16.2634559673            -2                       1.8723513167681942E-5
16.9705627485             16.9705627485            -2                       1.68875380143385E-5
17.6776695297             17.6776695297            -2                       1.505156376487874E-5
18.3847763109             18.3847763109            -2                       1.3268096210633946E-5
19.091883092              19.091883092             -2                       1.2390446840585251E-5
19.7989898732             19.7989898732            -2                       1.1512797780783274E-5
20.5060966544             20.5060966544            -2                       1.0429004576405269E-5
21.2132034356             21.2132034356            -2                       9.270674200915166E-6
21.9203102168             21.9203102168            -2                       8.112344264064663E-6
22.627416998              22.627416998             -2                       7.2614340387835695E-6
23.3345237792             23.3345237792            -2                       6.709908142114065E-6
24.0416305603             24.0416305603            -2                       6.187039581636286E-6
24.7487373415             24.7487373415            -2                       5.664171421007374E-6
25.4558441227             25.4558441227            -2                       5.141303782317101E-6
26.1629509039             26.1629509039            -2                       4.6184368428363935E-6
26.8700576851             26.8700576851            -2                       4.424973779405428E-6
27.5771644663             27.5771644663            -2                       4.11047297414228E-6
28.2842712475             28.2842712475            -2                       3.5958511762985894E-6
28.9913780286             28.9913780286            -2                       3.398552286354041E-6
29.6984848098             29.6984848098            -2                       3.2012539107779265E-6
30.405591591              30.405591591             -2                       2.879623346587486E-6
31.1126983722             31.1126983722            -2                       2.740436551608064E-6
31.8198051534             31.8198051534            -2                       2.6012499662810696E-6
